All installed programs list generated by choco-package-list-backup on 2022-02-15.


DisplayName                                                                   DisplayVersion      Publisher                                          
-----------                                                                   --------------      ---------                                          
Notepad Replacer 1.2                                                          1.2.0.0             Binary Fortress Software                           
1st Clock Pro 5.1.1 (Full)                                                    5.1.1               Green Parrots Software                             
Intel(R) HID Event Filter                                                     2.2.1.377           Intel Corporation                                  
FileSeek 6.6                                                                  6.6.0.0             Binary Fortress Software                           
Adobe AIR                                                                     32.0.0.125          Adobe                                              
Alt-Tab Terminator                                                            4.9                 NTWind Software                                    
DisplayFusion 10.0 (Beta 12)                                                  9.9.99.112          Binary Fortress Software                           
Visual Studio Enterprise 2019 Preview                                         16.11.9 Preview 1.0 Microsoft Corporation                              
BurnAware Free 15.1                                                                               Burnaware                                          
Bitvise SSH Client 8.53 (remove only)                                         8.53                Bitvise Limited                                    
ClipboardFusion 5.9.1                                                         5.9.1.0             Binary Fortress Software                           
Clink v0.4.9                                                                  0.4.9               Martin Ridgers                                     
                                                                                                                                                     
Visual Studio Enterprise 2022 Preview                                         17.1.0 Preview 5.0  Microsoft Corporation                              
Devart dbMonitor 3.0.4                                                                            Devart                                             
Diffuse 0.4.8                                                                                                                                        
FileZilla Client 3.57.0                                                       3.57.0              Tim Kosse                                          
Foxit PDF Reader                                                              11.1.0.52543        Foxit Software Inc.                                
Clientele ITSM Client 2019.1                                                  8.27.0.0            Mproof International BV / Epicor Software Corpor...
ProSAFE Plus Utility                                                          2.7.8               NETGEAR                                            
Juniper Installer Service 8.0                                                 8.0.32723           Juniper Networks, Inc.                             
Liquid Studio 2021                                                            19.0.11.10915       Liquid Technologies Limited                        
McAfee Agent                                                                  5.7.4.399           McAfee, LLC.                                       
Microsoft Azure Storage Emulator - v5.10                                      5.10.19227.2113     Microsoft Corporation                              
Microsoft Edge                                                                98.0.1108.50        Microsoft Corporation                              
Microsoft Edge Update                                                         1.3.155.77                                                             
Microsoft Edge WebView2 Runtime                                               98.0.1108.50        Microsoft Corporation                              
Microsoft Help Viewer 2.3                                                     2.3.28107           Microsoft Corporation                              
Postbox 7.0.54 (x86 en-US)                                                    7.0.54              Postbox, Inc.                                      
Pulse Secure 9.1                                                              9.1.13525           Pulse Secure, LLC                                  
Pulse Secure Setup Client Activex Control                                     3.1.1.1             Pulse Secure, LLC                                  
Rainmeter                                                                     4.5.11              Rainmeter                                          
RepoZ 5.5                                                                     5.5                 Andreas W??scher                                   
Stardock Groupy                                                               1.50                Stardock Software, Inc.                            
TreeSize Free V4.4.2                                                          4.4.2               JAM Software                                       
Ultracopier 2.2.4.14                                                          2.2.4.14            Ultracopier                                        
                                                                                                                                                     
WinMerge 2.16.14.0                                                            2.16.14.0           Thingamahoochie Software                           
WinPcap 4.1.3                                                                 4.1.0.2980          Riverbed Technology, Inc.                          
Nexus                                                                                                                                                
Intel(R) Wireless Bluetooth(R)                                                21.110.0.3          Intel Corporation                                  
Microsoft .NET Host FX Resolver - 6.0.1 (x86)                                 48.7.32725          Microsoft Corporation                              
Microsoft Windows Desktop Runtime - 5.0.12 (x86)                              40.48.30623         Microsoft Corporation                              
icecap_collection_neutral                                                     17.1.32113          Microsoft Corporation                              
Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.30501                  12.0.30501.0        Microsoft Corporation                              
vs_minshellinteropsharedmsi                                                   17.1.32113          Microsoft Corporation                              
Entrust IdentityGuard Soft Token 2.0 Patch                                    2.0.0               Entrust Inc,                                       
Windows SDK Desktop Tools arm64                                               10.1.19041.685      Microsoft Corporation                              
Windows IoT Extension SDK                                                     10.1.19041.685      Microsoft Corporation                              
WinRT Intellisense UAP - en-us                                                10.1.19041.685      Microsoft Corporation                              
Windows SDK for Windows Store Apps DirectX x86 Remote                         10.1.19041.685      Microsoft Corporation                              
McAfee Management of Native Encryption                                        5.2.0.24            McAfee, LLC                                        
icecap_collection_neutral                                                     16.10.31306         Microsoft Corporation                              
Adobe AIR                                                                     32.0.0.125          Adobe                                              
vs_clickoncesigntoolmsi                                                       17.1.32112          Microsoft Corporation                              
WinRT Intellisense PPI - en-us                                                10.1.19041.685      Microsoft Corporation                              
Lexmark Generic v4 XPS Printer Driver                                         1.0.0.0             Lexmark International, Inc.                        
vs_clickoncebootstrappermsires                                                17.1.32113          Microsoft Corporation                              
Windows SDK Desktop Libs x64                                                  10.1.19041.685      Microsoft Corporation                              
Microsoft .NET Framework 4.7.2 Targeting Pack                                 4.7.03062           Microsoft Corporation                              
Microsoft Visual C++ 2010  x86 Redistributable - 10.0.30319                   10.0.30319          Microsoft Corporation                              
                                                                                                                                                     
                                                                                                                                                     
Microsoft .NET Framework 4.5.2 Multi-Targeting Pack                           4.5.51651           Microsoft Corporation                              
vcpp_crt.redist.clickonce                                                     14.29.30129         Microsoft Corporation                              
Windows SDK Desktop Tools x86                                                 10.1.19041.685      Microsoft Corporation                              
Windows SDK for Windows Store Apps Libs                                       10.1.19041.685      Microsoft Corporation                              
WinRT Intellisense IoT - Other Languages                                      10.1.19041.685      Microsoft Corporation                              
Microsoft .NET Runtime - 6.0.1 (x86)                                          48.7.32725          Microsoft Corporation                              
Microsoft .NET Core Runtime - 3.1.19 (x86)                                    24.76.30416         Microsoft Corporation                              
Windows App Certification Kit SupportedApiList x86                            10.1.19041.685      Microsoft Corporation                              
vs_minshellmsires                                                             17.1.32113          Microsoft Corporation                              
Windows SDK for Windows Store Apps Contracts                                  10.1.19041.685      Microsoft Corporation                              
Windows SDK Desktop Libs arm                                                  10.1.19041.685      Microsoft Corporation                              
WinAppDeploy                                                                  10.1.19041.685      Microsoft Corporation                              
vs_cuitextensionmsi16                                                         16.10.31306         Microsoft Corporation                              
Microsoft .NET Runtime - 5.0.12 (x86)                                         40.48.30622         Microsoft Corporation                              
vs_filehandler_amd64                                                          17.1.32113          Microsoft Corporation                              
Microsoft .NET Framework 4.6 Targeting Pack                                   4.6.00081           Microsoft Corporation                              
Windows SDK for Windows Store Apps Metadata                                   10.1.19041.685      Microsoft Corporation                              
vs_BlendMsi                                                                   17.1.32112          Microsoft Corporation                              
Windows SDK Facade Windows WinMD Versioned                                    10.1.19041.685      Microsoft Corporation                              
Windows SDK DirectX x86 Remote                                                10.1.19041.685      Microsoft Corporation                              
WinRT Intellisense IoT - en-us                                                10.1.19041.685      Microsoft Corporation                              
Lexmark Network Twain Scan Driver                                             1.22.176.0          Lexmark International, Inc.                        
ExclaimOvertime                                                               1.0.0               Default Company Name                               
Microsoft Visual C++ 2019 X86 Debug Runtime - 14.29.30139                     14.29.30139         Microsoft Corporation                              
icecap_collectionresourcesx64                                                 16.10.31306         Microsoft Corporation                              
Windows SDK Desktop Headers x86                                               10.1.19041.685      Microsoft Corporation                              
vs_helpconfigmsi                                                              16.10.31205         Microsoft Corporation                              
Papercut SMTP                                                                 1.0.633             Changemaker Studios                                
Microsoft Windows Communication Foundation Diagnostic Pack for x86            17.1.32113          Microsoft                                          
Microsoft Azure Storage Emulator - v5.10                                      5.10.19227.2113     Microsoft Corporation                              
vs_CoreEditorFonts                                                            17.1.32126          Microsoft Corporation                              
Windows SDK Modern Non-Versioned Developer Tools                              10.1.19041.685      Microsoft Corporation                              
Windows SDK Redistributables                                                  10.1.19041.685      Microsoft Corporation                              
WinRT Intellisense Mobile - en-us                                             10.1.19041.685      Microsoft Corporation                              
vs_networkemulationmsi_x64                                                    17.1.32112          Microsoft Corporation                              
Windows Software Development Kit - Windows 10.0.19041.685                     10.1.19041.685      Microsoft Corporation                              
Poor Man's T-Sql Formatter SSMS Extension                                     1.6.16.27891        Tao Klerks                                         
vs_filehandler_x86                                                            17.1.32113          Microsoft Corporation                              
Bitvise SSH Client - FlowSshNet (x86)                                         8.53.0.0            Bitvise Limited                                    
vs_codeduitestframeworkmsi                                                    17.1.32112          Microsoft Corporation                              
